anuncio/propriedade,tipo,CÓDIGO,FREGUESIA,CONCELHO,DISTRITO,area(m²),valor renda(€/mes)
"T1 com terraço no centro de Oeiras, Bairro Augusto Castro",Apartamento,111014,OEIRAS,OEIRAS,LISBOA,40.0,1000
Apartamento T3 - ARRENDAMENTO - MOBILADO,Apartamento,110508,CASCAIS,CASCAIS,LISBOA,185.1,12500
Moradia T4 para arrendamento,Moradia,110508,CASCAIS,CASCAIS,LISBOA,234.36,12500
Herdade da Aroeira  Moradia T6+2,Moradia,150314,CHARNECA DE CAPARICA,ALMADA,SETUBAL,238.0,12500
Moradia T4 para arrendamento,Moradia,110508,CASCAIS,CASCAIS,LISBOA,257.0,12500
Arrendamento de Excelente T4 na Av. Dr. Antunes Guimarães Porto,Apartamento,131216,ALDOAR,PORTO,PORTO,133.0,1900
Apartamento T3+1 para arrendamento sem móveis em Miraflores,Apartamento,111012,ALGES,OEIRAS,LISBOA,165.0,2000
"Apartamento T2 Smart (T1+1), novo, para arrendamento em L...",Apartamento,130812,MATOSINHOS,MATOSINHOS,PORTO,71.5,1300
"Apartamento T1 para arrendamento, sem móveis nas Avenidas Novas",Apartamento,110657,AVENIDAS NOVAS,LISBOA,LISBOA,82.0,2500
"Apartamento T1 no ultimo Piso - Praia da Granja, Gaia",Apartamento,131701,ARCOZELO,VILA NOVA DE GAIA,PORTO,71.45,900
Apartamento T3 para arrendamento,Apartamento,110507,CARCAVELOS,CASCAIS,LISBOA,105.0,1500
Apartamento T2 para arrendamento na Amadora,Apartamento,111013,CARNAXIDE,OEIRAS,LISBOA,102.0,1450
T1 Carcavelos frente praia,Apartamento,110507,CARCAVELOS,CASCAIS,LISBOA,65.0,1200
Apartamento T3,Apartamento,30377,NOGUEIRA,BRAGA,BRAGA,163.0,850
Andar moradia t1+1 rio tinto Porto metro campainha,Apartamento,131505,VALONGO,VALONGO,PORTO,60.0,700
Apartamento T3 para arrendamento,Apartamento,110654,ALVALADE,LISBOA,LISBOA,74.8,1350
"T2  em Campo Grande, Alvalade",Apartamento,110654,ALVALADE,LISBOA,LISBOA,71.0,1800
Apartamento T1 para arrendamento,Apartamento,110665,SANTA MARIA MAIOR,LISBOA,LISBOA,60.0,950
Apartamento T3 para arrendamento,Apartamento,10702,ESPINHO,ESPINHO,AVEIRO,156.1,1500
Apartamento T1 para arrendamento,Apartamento,110665,SANTA MARIA MAIOR,LISBOA,LISBOA,55.0,1000
Apartamento T1 para Arrendar Canidelo Gardens I,Apartamento,131704,CANIDELO,VILA NOVA DE GAIA,PORTO,42.42,950
Apartamento T2 para arrendamento,Apartamento,131210,PARANHOS,PORTO,PORTO,78.0,1000
T2 Mobilado e Equipado no Centro do Carvalhido - Porto,Apartamento,131210,PARANHOS,PORTO,PORTO,95.0,1100
T1+1 Luxo Vila Nova de Gaia,Apartamento,131727,MAFAMUDE,VILA NOVA DE GAIA,PORTO,85.0,1500
Apartamento T3 Dúplex Manta Rota - NUMAR RESIDENCE_LN_0104,Apartamento,81601,VILA NOVA DE CACELA,VILA REAL DE SANTO ANTONIO,FARO,90.0,1200
Moradia T5 para arrendamento na Quinta da Marinha,Moradia,110508,CASCAIS,CASCAIS,LISBOA,300.0,12000
Timesharing em Agosto - Hotel D. Pedro Vilamoura,Apartamento,80805,QUARTEIRA,LOULE,FARO,55.0,12000
Para arrendar | Fabulosa Moradia T6 | com jardim e piscina na zona nob,Moradia,110658,BELEM,LISBOA,LISBOA,350.0,12000
Para Arrendamento | Moradia T6 | Restelo,Moradia,110658,BELEM,LISBOA,LISBOA,350.0,12000
Apartamento T4 em condomínio no Gandarinha em Cascais,Apartamento,110508,CASCAIS,CASCAIS,LISBOA,205.0,12000
"Moradia T7 para arrendamento com jardim e piscina em Galamares, Sintra",Moradia,111128,SINTRA,SINTRA,LISBOA,670.0,11800
Apartamento T1 para arrendamento,Apartamento,110664,SANTA CLARA,LISBOA,LISBOA,50.0,1250
"Amplo T2 com cozinha totalmente equipada, arrecadação e lugar de garag",Apartamento,110621,MARVILA,LISBOA,LISBOA,90.0,1500
"Apartamento T2 com Terraço e Garagem Box em Atibá - Alcabideche, Casca",Apartamento,110501,ALCABIDECHE,CASCAIS,LISBOA,90.0,1750
Apartamento T6 para arrendamento,Apartamento,110655,AREEIRO,LISBOA,LISBOA,170.0,2450
T2+1 Totalmente Renovado,Apartamento,110607,BEATO,LISBOA,LISBOA,63.0,1450
T3 Duplex na Lapa com Jardim Privado de 45m2,Apartamento,110660,ESTRELA,LISBOA,LISBOA,90.0,2950
Apartamento T3 | Arrendar | Leça da Palmeira | Varanda | Garagem,Apartamento,130812,MATOSINHOS,MATOSINHOS,PORTO,150.0,1550
Excelente Oportunidade de Arrendamento no Parque das Nações,Apartamento,110662,PARQUE DAS NACOES,LISBOA,LISBOA,125.0,2500
Apartamento T4 para arrendamento,Apartamento,110660,ESTRELA,LISBOA,LISBOA,157.0,3600
Apartamento T3 para arrendamento,Apartamento,110611,CARNIDE,LISBOA,LISBOA,100.0,1800
Apartamento T2 para arrendamento,Apartamento,111413,ALVERCA DO RIBATEJO,VILA FRANCA DE XIRA,LISBOA,134.0,1700
Apartamento T1 para arrendamento,Apartamento,110607,BEATO,LISBOA,LISBOA,55.0,1200
Moradia T3 no monte em Santo André!,Moradia,150907,SANTO ANDRE,SANTIAGO DO CACEM,SETUBAL,135.0,1500
Apartamento T2 para arrendamento,Apartamento,60520,BUARCOS,FIGUEIRA DA FOZ,COIMBRA,71.0,790
T0 para Arrendamento Rua de Gondarém,Apartamento,131216,ALDOAR,PORTO,PORTO,40.0,790
Apartamento T3 -Fonte Nova -Aveiro,Apartamento,10517,GLORIA,AVEIRO,AVEIRO,218.0,1550
Apartamento T2 para arrendamento,Apartamento,110663,PENHA DE FRANCA,LISBOA,LISBOA,72.0,2000
Apartamento T5 para arrendamento,Apartamento,60318,SANTO ANTONIO DOS OLIVAIS,COIMBRA,COIMBRA,165.48,1200
Apartamento T1 remodelado - Murtal - Parede,Apartamento,110507,CARCAVELOS,CASCAIS,LISBOA,62.0,775
Fabuloso apartamento T3 com uma área bruta total de 202m2,Apartamento,110654,ALVALADE,LISBOA,LISBOA,154.0,2600
Aluguer vivenda r/c,Moradia,60902,MIRANDA DO CORVO,MIRANDA DO CORVO,COIMBRA,100.0,300
T2+1 Marquês de Pombal,Apartamento,110666,SANTO ANTONIO,LISBOA,LISBOA,85.0,1600
Moradia T3 para arrendamento,Moradia,100607,LANDAL,CALDAS DA RAINHA,LEIRIA,122.0,750
T3 Cruz Quebrada-Dafundo com vista Rio,Apartamento,111012,ALGES,OEIRAS,LISBOA,120.0,3300
Apartamento Soltroia T1+1 a um minuto do rio e 5 mins da praia,Apartamento,150106,COMPORTA,ALCACER DO SAL,SETUBAL,70.0,2500
Arrendamento de Apartamento T3 | Afonsoeiro/ Montijo,Apartamento,150710,MONTIJO,MONTIJO,SETUBAL,99.0,1200
Apartamento T3 para arrendar,Apartamento,11106,PAMPILHOSA,MEALHADA,AVEIRO,100.0,550
T3 triplex em condomínio fechado na Lapa,Apartamento,110660,ESTRELA,LISBOA,LISBOA,200.0,11500
"Apartamento T3+1 triplex para arrendamento mobilado na Estrela, Lisboa",Apartamento,110660,ESTRELA,LISBOA,LISBOA,214.98,11500
Moradia T5 para arrendamento,Moradia,111014,OEIRAS,OEIRAS,LISBOA,243.0,11000
T4 flat for rent in rua Fernão Lopes,Apartamento,110656,ARROIOS,LISBOA,LISBOA,346.0,11000
"Moradia T4 com piscina e jardim em Barcarena, Oeiras",Moradia,111002,BARCARENA,OEIRAS,LISBOA,511.0,10900
Apartamento T3 para arrendamento,Apartamento,130812,MATOSINHOS,MATOSINHOS,PORTO,122.0,1400
Arrenda T2 Colinas do Cruzeiro com Box para 3 carros,Apartamento,111603,ODIVELAS,ODIVELAS,LISBOA,120.0,1800
Apartamento T3 varanda e lugar de garagem,Apartamento,141633,SANTAREM,SANTAREM,SANTAREM,123.9,950
Apartamento T2 | Senhora da Hora,Apartamento,130814,SAO MAMEDE DE INFESTA,MATOSINHOS,PORTO,72.0,1300
Apartamento T1 para arrendamento,Apartamento,110661,MISERICORDIA,LISBOA,LISBOA,72.0,1650
Moradia T6 no Estoril,Moradia,110508,CASCAIS,CASCAIS,LISBOA,380.0,10500
Apartamento T5 para arrendamento,Apartamento,110657,AVENIDAS NOVAS,LISBOA,LISBOA,396.0,10500
MORADIA T6 EM ESTORIL,Moradia,110508,CASCAIS,CASCAIS,LISBOA,260.0,10500
"Moradia T6 para arrendamento mobilada, com jardim e piscina no Estoril",Moradia,110508,CASCAIS,CASCAIS,LISBOA,290.0,10500
"Moradia T5 + 3 no centro do Estoril, com piscina e amplo ...",Moradia,110508,CASCAIS,CASCAIS,LISBOA,532.1,10500
"Moradia T6 com piscina no Estoril, Cascais",Moradia,110508,CASCAIS,CASCAIS,LISBOA,290.26,10500
T3 Novo - Mobilado - Condomínio privado - Campo Grande 200,Apartamento,110654,ALVALADE,LISBOA,LISBOA,120.0,3500
T2 Centro de Espinho - Rua 18,Apartamento,10702,ESPINHO,ESPINHO,AVEIRO,90.0,1100
Apartamento T4 | Arrendar | Matosinhos Sul | Mobilado e equipado,Apartamento,130812,MATOSINHOS,MATOSINHOS,PORTO,201.0,3200
Moradia T3 em São Pedro do Estoril,Moradia,110508,CASCAIS,CASCAIS,LISBOA,167.0,3500
ARRENDAMENTO T3 COM VISTA FANTÁSTICA TERRAÇO E BOX PARA 2 CARROS,Apartamento,110662,PARQUE DAS NACOES,LISBOA,LISBOA,144.0,4200
Apartamento T3 para arrendamento,Apartamento,111012,ALGES,OEIRAS,LISBOA,140.0,4650
"T1+1 em condomínio com terraço, piscina, sauna e ginásio",Apartamento,150303,COSTA DA CAPARICA,ALMADA,SETUBAL,60.0,1636
Apartamento T4 - Arrendamento,Apartamento,31250,ANTAS,VILA NOVA DE FAMALICAO,BRAGA,223.5,2000
T2+1 Alameda Dom Afonso Henriques,Apartamento,110655,AREEIRO,LISBOA,LISBOA,82.0,1650
T2+1 renovado com Terraço e 2 WC,Apartamento,110657,AVENIDAS NOVAS,LISBOA,LISBOA,83.0,1800
Apartamento T2 para arrendamento,Apartamento,110654,ALVALADE,LISBOA,LISBOA,64.3,1900
T2 NOVO - PROXIMO da MARINA da AFURADA - ..........,Apartamento,131704,CANIDELO,VILA NOVA DE GAIA,PORTO,108.0,1600
Apartamento T1 a estrear!,Apartamento,110621,MARVILA,LISBOA,LISBOA,79.0,2300
Espaço comercial único para arrenda no coração de Lisboa,Apartamento,110657,AVENIDAS NOVAS,LISBOA,LISBOA,292.0,5750
Apartamento T2 para arrendamento,Apartamento,110661,MISERICORDIA,LISBOA,LISBOA,90.0,1850
Apartamento T1 para arrendamento,Apartamento,110621,MARVILA,LISBOA,LISBOA,39.4,1950
T5 Primeira Linha de Mar - Matosinhos sul,Apartamento,130812,MATOSINHOS,MATOSINHOS,PORTO,267.0,3750
T2 Mobilado Duplex-Bairro Alto,Apartamento,110661,MISERICORDIA,LISBOA,LISBOA,67.0,1300
T2 Remodelado junto á praia,Apartamento,150303,COSTA DA CAPARICA,ALMADA,SETUBAL,100.0,1700
Moradia com piscina,Moradia,110508,CASCAIS,CASCAIS,LISBOA,312.0,10000
Moradia T4+1 para arrendamento na Quinta da Penha Longa,Moradia,111128,SINTRA,SINTRA,LISBOA,531.3,10000
"Moradia T6 - Quinta da Marinha, Cascais.",Moradia,110508,CASCAIS,CASCAIS,LISBOA,260.0,10000
Moradia Mobilada T6+2 - Paço de Arcos,Moradia,111014,OEIRAS,OEIRAS,LISBOA,341.0,10000
Para Arrendar | Moradia T6 | Quinta da Marinha,Moradia,110508,CASCAIS,CASCAIS,LISBOA,235.0,10000
Apartamento T1 para arrendamento,Apartamento,131217,CEDOFEITA,PORTO,PORTO,79.75,1400
T2 NOVO - PROXIMO da MARINA da AFURADA - ..........,Apartamento,131704,CANIDELO,VILA NOVA DE GAIA,PORTO,110.0,1600
T2 Matosinhos Sul condomínio fechado com ginásio e piscina e garagem p,Apartamento,130812,MATOSINHOS,MATOSINHOS,PORTO,127.0,2350
Apartamento T4 c/ vista mar | 4 frentes | 2 grandes varandas | Box fec,Apartamento,131701,ARCOZELO,VILA NOVA DE GAIA,PORTO,133.0,1600
Apartamento T2 mobilado com varanda em todas as divisões para arrendar,Apartamento,110665,SANTA MARIA MAIOR,LISBOA,LISBOA,104.0,2850
Apartamento T1 para arrendamento,Apartamento,110611,CARNIDE,LISBOA,LISBOA,61.0,1600
Apartamento T6 de Luxo nas AV. Novas,Apartamento,110657,AVENIDAS NOVAS,LISBOA,LISBOA,283.0,10000
Duplex Balela Sol Village II,Apartamento,101406,FERREL,PENICHE,LEIRIA,200.0,850
Apartamento T3 para arrendamento,Apartamento,131315,POVOA DE VARZIM,POVOA DE VARZIM,PORTO,118.0,1000
Apartamento T3 para arrendamento,Apartamento,110508,CASCAIS,CASCAIS,LISBOA,140.0,3500
Moradia T4 para arrendamento,Moradia,110658,BELEM,LISBOA,LISBOA,112.78,2900
Apartamento T3 para arrendamento,Apartamento,110664,SANTA CLARA,LISBOA,LISBOA,164.7,2300
"Apartamento T5 Arrendamento em Matosinhos e Leça da Palmeira,Matosinho",Apartamento,130812,MATOSINHOS,MATOSINHOS,PORTO,322.9,5950
Apartamento no Condomínio Lezíria Parque,Apartamento,111409,VILA FRANCA DE XIRA,VILA FRANCA DE XIRA,LISBOA,144.0,2350
Moradia Bifamilar,Moradia,111325,MAXIAL,TORRES VEDRAS,LISBOA,1630.0,1300
Apartamento T1 mobilado centro de Fátima com elevador,Apartamento,142106,FATIMA,OUREM,SANTAREM,45.0,400
Apartamento T4 Duplex no Estoril - DISPONÍVEL 01/07/2024,Apartamento,110508,CASCAIS,CASCAIS,LISBOA,220.0,4500
T1 Duplex em plena zona Histórica do Porto,Apartamento,131217,CEDOFEITA,PORTO,PORTO,52.0,1350
Areenda-se T1 c/ area de T2 Montijo_Alto das Vinhas grandes,Apartamento,150710,MONTIJO,MONTIJO,SETUBAL,70.0,850
Estúdio na Rua de São Paulo,Apartamento,110660,ESTRELA,LISBOA,LISBOA,67.0,1440
Moradia tradicional T3  restaurada e ampliada de forma moderna,Moradia,81411,LUZ DE TAVIRA,TAVIRA,FARO,263.0,2850
"T2 otimo estado | Murtal, Parede",Apartamento,110507,CARCAVELOS,CASCAIS,LISBOA,82.0,1600
"Apartamento T0 Novo para arrendar- Mafamude, Vila Nova de Gaia",Apartamento,131727,MAFAMUDE,VILA NOVA DE GAIA,PORTO,47.0,850
Apartamento T1 para arrendamento,Apartamento,311003,SAO VICENTE,SAO VICENTE,LISBOA,32.0,1300
Arrendamento de T2 com varanda e vista rio no Alto de Algés,Apartamento,111012,ALGES,OEIRAS,LISBOA,113.0,2300
Apartamento T2 MOBILADO Avenida da República Matosinhos,Apartamento,130812,MATOSINHOS,MATOSINHOS,PORTO,85.0,1500
apartamento T1+1 / T2 alugar,Apartamento,131730,SANTA MARINHA,VILA NOVA DE GAIA,PORTO,50.0,750
"T2 NO MARTIM MONIZ, MOBILADO E EQUIPADO, COM PARQUEAMENTO",Apartamento,110665,SANTA MARIA MAIOR,LISBOA,LISBOA,97.0,2000
Apartamento Duplex T5 | Entroncamento - Zona do Bonito,Apartamento,141002,NOSSA SENHORA DE FATIMA,ENTRONCAMENTO,SANTAREM,193.0,1300
T1 Alfama com vista e Sol!,Apartamento,110663,PENHA DE FRANCA,LISBOA,LISBOA,30.0,1050
Apartamento T4 mobilado para arrendamento em Lisboa,Apartamento,110657,AVENIDAS NOVAS,LISBOA,LISBOA,360.0,10000
Arrendamento Apartamento T6 de luxo - Avenidas Novas,Apartamento,110657,AVENIDAS NOVAS,LISBOA,LISBOA,282.8,10000
T4 flat for rent in rua Fernão Lopes,Apartamento,110656,ARROIOS,LISBOA,LISBOA,347.0,10000
Moradia T3 para arrendamento na Quinta da Marinha,Moradia,110508,CASCAIS,CASCAIS,LISBOA,177.0,9800
T3 Mobilado  c/Vistas para Rio Douro - Massarelos,Apartamento,131217,CEDOFEITA,PORTO,PORTO,100.0,1500
T1+1 mobilado com varanda em Bairro alto,Apartamento,110661,MISERICORDIA,LISBOA,LISBOA,71.72,1300
2 assoalhadas mobilado na Lapa,Apartamento,110660,ESTRELA,LISBOA,LISBOA,45.0,1150
Excelente T1 em EXPO com lugar estacionamento,Apartamento,110662,PARQUE DAS NACOES,LISBOA,LISBOA,50.0,1400
Apartamento T2 para arrendamento  em Condomínio Fechado,Apartamento,111608,PONTINHA,ODIVELAS,LISBOA,105.0,2500
"T1 - Mobilado - Matosinhos, Leça Palmeira",Apartamento,130812,MATOSINHOS,MATOSINHOS,PORTO,55.0,1300
"Apartamento T1 para arrendamento, com móveis no Braço de Prata",Apartamento,110621,MARVILA,LISBOA,LISBOA,56.7,1750
Apartamento T2 totalmente mobilado com vista mar.,Apartamento,130812,MATOSINHOS,MATOSINHOS,PORTO,95.0,1800
Estúdio T0 para arrendamento em Ílhavo!,Apartamento,11008,ILHAVO,ILHAVO,AVEIRO,22.7,550
Apartamento T2 Completamente Mobilado no Centro da Maia,Apartamento,130619,CIDADE DA MAIA,MAIA,PORTO,110.0,1150
BRAND NEW 1-BEDROOM APARTMENT FOR RENT near the University Campus - Eq,Apartamento,131210,PARANHOS,PORTO,PORTO,51.0,900
PRONTO A HABITAR - T1 NOVO - No Pólo Universitário,Apartamento,131210,PARANHOS,PORTO,PORTO,52.0,900
Moradia de charme com vista para o Palacio da Pena,Moradia,111128,SINTRA,SINTRA,LISBOA,194.0,4000
Apartamento T4 Em Condomínio com Piscina no Monte Estoril,Apartamento,110508,CASCAIS,CASCAIS,LISBOA,185.0,4950
Moradia T3 - Rebordosa,Moradia,131025,PAREDES,PAREDES,PORTO,300.0,1400
Apartamento T3 para arrendamento,Apartamento,131611,GUILHABREU,VILA DO CONDE,PORTO,140.0,900
Apartamento T2 para arrendamento,Apartamento,11006,GAFANHA DA NAZARE,ILHAVO,AVEIRO,98.4,900
Moradia T4+1 em Lourosa,Moradia,10913,LOUROSA,SANTA MARIA DA FEIRA,AVEIRO,366.0,1100
Apartamento T3 para arrendar em Vila Nova de Gaia,Apartamento,131730,SANTA MARINHA,VILA NOVA DE GAIA,PORTO,79.0,1100
T3 TOTALMENTE REMODELADO COM VISTA DESAFOGADA EM CANEÇAS,Moradia,111610,RAMADA,ODIVELAS,LISBOA,95.0,1200
T 1 - Centro do Porto,Apartamento,131210,PARANHOS,PORTO,PORTO,40.0,800
Apartamento T3 Canidelo,Apartamento,131704,CANIDELO,VILA NOVA DE GAIA,PORTO,140.0,1600
Apartamento T2 para arrendamento,Apartamento,110707,LOURES,LOURES,LISBOA,68.0,1500
REF3936 V2 Kit Renovado Liga Portuguesa Contra Cancro / Hosp. São João,Moradia,130617,PEDROUCOS,MAIA,PORTO,55.0,800
Moradia T6 para arrendamento,Moradia,111014,OEIRAS,OEIRAS,LISBOA,120.0,3750
Apartamento T2 + 1 Misericordia,Apartamento,110665,SANTA MARIA MAIOR,LISBOA,LISBOA,80.0,1399
Two bedroom garden apartment,Apartamento,111128,SINTRA,SINTRA,LISBOA,130.0,3500
Arrendamento Alcochete,Apartamento,150201,ALCOCHETE,ALCOCHETE,SETUBAL,90.0,1400
"Casa apalaçada de charme do século XIX, com 484 m², 6 Sui...",Moradia,111128,SINTRA,SINTRA,LISBOA,330.85,9500
Moradia em Quinta de Sintra com piscina,Moradia,111128,SINTRA,SINTRA,LISBOA,310.0,9500
Moradia em Cascais,Moradia,110508,CASCAIS,CASCAIS,LISBOA,225.0,9500
"Moradia T4, com jardim e piscina, Livramento, Estoril",Moradia,110508,CASCAIS,CASCAIS,LISBOA,405.0,9500
"Apartamento T3 em triplex, totalmente mobilado, em Cascais",Apartamento,110508,CASCAIS,CASCAIS,LISBOA,293.0,9000
Duplex T3 para arrendamento,Apartamento,110508,CASCAIS,CASCAIS,LISBOA,70.0,1600
"Belíssimo T1 de 75 m² no coração do Chiado, na Tv do Carmo 1B, com 1 l",Apartamento,110665,SANTA MARIA MAIOR,LISBOA,LISBOA,65.0,1700
Moradia T3 para arrendamento,Moradia,110658,BELEM,LISBOA,LISBOA,112.5,2900
"Moradia T3 no Bom Sucesso Resort, Óbidos",Moradia,101207,VAU,OBIDOS,LEIRIA,185.0,2400
Apartamento T3 para arrendamento,Apartamento,150312,ALMADA,ALMADA,SETUBAL,74.0,1500
Fantástico apartamento T3 inserido num condomínio privado,Apartamento,110507,CARCAVELOS,CASCAIS,LISBOA,178.86,2750
"Apartamento T2 Duplex em Alta da Terrugem, para Arrendamento",Apartamento,111014,OEIRAS,OEIRAS,LISBOA,108.0,2900
MORADIA T4 EM OEIRAS - 4 SUITES E PISCINA - VILLA BALI,Moradia,111014,OEIRAS,OEIRAS,LISBOA,240.0,7600
MORADIA T4 EM OEIRAS - 4 SUITES E PISCINA - VILLA BALI,Moradia,111009,PORTO SALVO,OEIRAS,LISBOA,240.0,7600
"Apartamento T2 ao Campo Alegre, Porto",Apartamento,131218,LORDELO DO OURO,PORTO,PORTO,110.0,1200
Moradia T3 para arrendamento,Moradia,130619,CIDADE DA MAIA,MAIA,PORTO,160.0,2000
"Apartamento T4 com vista rio e garagem, Lapa, Lisboa",Apartamento,110660,ESTRELA,LISBOA,LISBOA,335.0,9000
Apartamento T3 em Telheiras junto ao metro,Apartamento,110618,LUMIAR,LISBOA,LISBOA,92.0,2350
"Apartamento T1 em Lisboa de 59,00 m2",Apartamento,110661,MISERICORDIA,LISBOA,LISBOA,59.0,1950
Apartamento exclusivo T4 com situação fantástica e vista ...,Apartamento,110660,ESTRELA,LISBOA,LISBOA,260.0,8500
Luxuoso apartamento em Alvide,Apartamento,110508,CASCAIS,CASCAIS,LISBOA,133.0,8500
Casa T3 com Jardim e Terraço e Estacionamento,Apartamento,150804,QUINTA DO ANJO,PALMELA,SETUBAL,100.0,1200
Moradia T4+1 mobilado e totalmente remodelada para arrend...,Moradia,110508,CASCAIS,CASCAIS,LISBOA,176.0,8500
Arrendamento de Apartamento T3 recentemente renovado,Apartamento,131211,RAMALDE,PORTO,PORTO,108.0,1500
"Apartamento T1 com terraço para Arrendamento, Penha de França / Lis...",Apartamento,110663,PENHA DE FRANCA,LISBOA,LISBOA,45.0,1350
T5+1 Duplex na 1ª linha de Mar na Foz do Douro,Apartamento,131216,ALDOAR,PORTO,PORTO,347.0,8500
"Apartamento acolhedor, numa zona verde e tranquila",Apartamento,110639,SAO DOMINGOS DE BENFICA,LISBOA,LISBOA,55.0,1000
T1 para arrendamento - IL MARE ESTORIL,Apartamento,110508,CASCAIS,CASCAIS,LISBOA,70.92,2200
"Apartamento T2+1 para Arrendamento, Penha de França / Lisboa",Apartamento,110663,PENHA DE FRANCA,LISBOA,LISBOA,90.0,2400
"Fantástico T1 para arrendar no Lisbon Stone Block , Avenidas Novas",Apartamento,110657,AVENIDAS NOVAS,LISBOA,LISBOA,82.0,2500
Apartamento T3 para arrendamento nas Avenidas Novas,Apartamento,110657,AVENIDAS NOVAS,LISBOA,LISBOA,151.9,4000
"T3 para alugar em vialonga. Boa localização,",Apartamento,111408,VIALONGA,VILA FRANCA DE XIRA,LISBOA,125.0,1000
Apartamento T3 para arrendamento em condomínio com piscina em Oeiras,Apartamento,111014,OEIRAS,OEIRAS,LISBOA,129.0,2450
Apartamento T3,Apartamento,141633,SANTAREM,SANTAREM,SANTAREM,130.62,850
Moradia T4 no centro histórico de Cascais,Moradia,110508,CASCAIS,CASCAIS,LISBOA,136.39,8500
T0+ Parque do Rio - Parque das Nações,Apartamento,110662,PARQUE DAS NACOES,LISBOA,LISBOA,40.0,1000
"Apartamento T3 sem móveis, no empreendimento One Living e...",Apartamento,110508,CASCAIS,CASCAIS,LISBOA,305.0,8500
Apartamento T2 em Alfena (Valongo) para arrendamento,Apartamento,131501,ALFENA,VALONGO,PORTO,100.0,1100
Moradia T7 para arrendamento,Moradia,110657,AVENIDAS NOVAS,LISBOA,LISBOA,455.8,8500
Moradia T3 com Jardim e Garagem,Moradia,10917,NOGUEIRA DA REGEDOURA,SANTA MARIA DA FEIRA,AVEIRO,168.0,1750
T4 Novo com 4 SUITES + 3 lugares de GARAGEM - São Sebasti...,Apartamento,110657,AVENIDAS NOVAS,LISBOA,LISBOA,235.0,8500
Apartamento T3 para arrendamento,Apartamento,110663,PENHA DE FRANCA,LISBOA,LISBOA,119.0,1400
"T3 para arrendar no centro de Odivelas, na Rua Luís de Camões.",Apartamento,110726,MOSCAVIDE,LOURES,LISBOA,69.0,1200
Apartamento T1 para arrendamento,Apartamento,110655,AREEIRO,LISBOA,LISBOA,43.0,1600
Apartamento T2 para arrendamento,Apartamento,150201,ALCOCHETE,ALCOCHETE,SETUBAL,69.0,1250
Apartamento T3 para arrendamento,Apartamento,110507,CARCAVELOS,CASCAIS,LISBOA,101.0,1700
"Fantástico T3 para arrendar no Lisbon Stone Block , Avenidas Novas",Apartamento,110657,AVENIDAS NOVAS,LISBOA,LISBOA,152.0,4000
Apartamento T3 próximo do Hospital São João,Apartamento,130617,PEDROUCOS,MAIA,PORTO,130.0,1500
Apartamento T2 Oliveira do Douro,Apartamento,131709,MADALENA,VILA NOVA DE GAIA,PORTO,76.0,750
Excepcional T2 em condomínio de luxo,Apartamento,110654,ALVALADE,LISBOA,LISBOA,115.0,1900
Aluga-se Vivenda V5 - Santa Bárbara de Nexe - Medronhal,Moradia,80503,SANTA BARBARA DE NEXE,FARO,FARO,190.0,3000
"REF3480 T1 C/Novo C/terraço, Rua António Borges /H. São João, Paranhos",Apartamento,131210,PARANHOS,PORTO,PORTO,60.0,1000
Moradia T4+2 - Centro Histórico de Cascais,Moradia,110508,CASCAIS,CASCAIS,LISBOA,200.0,8500
Para Arrendar | Moradia T4+2 | Cascais,Moradia,110508,CASCAIS,CASCAIS,LISBOA,205.0,8500
Moradia T4+2 com estacionamento no centro histórico de Cascais,Moradia,110508,CASCAIS,CASCAIS,LISBOA,176.0,8500
"Moradia T6+2 para arrendamento, sem móveis com terraço Avenidas Novas",Moradia,110657,AVENIDAS NOVAS,LISBOA,LISBOA,455.8,8500
Apartamento T4 para arrendamento,Apartamento,110657,AVENIDAS NOVAS,LISBOA,LISBOA,235.0,8500
Arrendamento de Moradia tradicional no centro de Cascais,Moradia,110508,CASCAIS,CASCAIS,LISBOA,319.0,8300
T2 Loft Duplex mobilado na marginal do Douro,Apartamento,131218,LORDELO DO OURO,PORTO,PORTO,120.0,2250
Apartamento T3,Apartamento,100120,ALJUBARROTA,ALCOBACA,LEIRIA,95.0,500
Apartamento T3 Arrendamento Cascais,Apartamento,110508,CASCAIS,CASCAIS,LISBOA,142.0,3750
Moradia T4 no Marinha Guincho em Cascais,Moradia,110501,ALCABIDECHE,CASCAIS,LISBOA,240.0,7000
Apartamento T2 Arrendamento Cascais,Apartamento,110508,CASCAIS,CASCAIS,LISBOA,98.0,1800
Apartamento T1 no emblemático Edificio Atrium em Cascais,Apartamento,110508,CASCAIS,CASCAIS,LISBOA,64.5,2800
Moradia Isolada T4 - São Pedro do Estoril,Moradia,110508,CASCAIS,CASCAIS,LISBOA,160.0,3800
Excelente Apartamento T4 Totalmente Mobilado na Boavista,Apartamento,131211,RAMALDE,PORTO,PORTO,163.0,2750
Apartamento T2 para arrendamento sem móveis na Lapa,Apartamento,110660,ESTRELA,LISBOA,LISBOA,135.0,3250
T3 Varanda e Garagem em Paranhos New Three Bedroom Apartment Porto,Apartamento,131210,PARANHOS,PORTO,PORTO,125.0,1900
T4 com garagem em Celas,Apartamento,60318,SANTO ANTONIO DOS OLIVAIS,COIMBRA,COIMBRA,150.5,1200
T3 Leiria Arrendar,Apartamento,100933,LEIRIA,LEIRIA,LEIRIA,103.0,700
